Author,Collaboration Count,Publication Count,Tenure of Research,Degree Centrality,Cluster,Label,Predicted Label
D. L. Chan,3.0,1.0,0.0,1.0,2.0,ECR,ECR
E. K. S. Ho,3.0,1.0,0.0,1.0,2.0,ECR,ECR
R. W. P. Luk,3.0,1.0,0.0,1.0,2.0,ECR,ECR
Q. Lu,3.0,1.0,0.0,1.0,2.0,ECR,ECR
Tony Williams,0.0,1.0,0.0,0.0,0.0,ECR,ECR
María Teresa Vicente-Diez,1.0,1.0,0.0,0.16666666666666666,0.0,ECR,ECR
Paloma Martinez,1.0,1.0,0.0,0.16666666666666666,0.0,ECR,ECR
Cybèle Ciofolo,1.0,1.0,0.0,0.125,0.0,ECR,ECR
Christian Barillot,1.0,1.0,0.0,0.125,0.0,ECR,ECR
Raya Fidel,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Liming Fang,3.0,1.0,0.0,0.23076923076923078,2.0,ECR,ECR
Willy Susilo,3.0,1.0,0.0,0.23076923076923078,2.0,ECR,ECR
Chunpeng Ge,3.0,1.0,0.0,0.23076923076923078,2.0,ECR,ECR
Jiandong Wang,3.0,1.0,0.0,0.23076923076923078,2.0,ECR,ECR
I. M. Wanless,1.0,1.0,0.0,0.06666666666666667,0.0,ECR,ECR
N. C. Wormald,1.0,1.0,0.0,0.06666666666666667,0.0,ECR,ECR
Alexander Khein,2.0,1.0,0.0,0.1111111111111111,2.0,ECR,ECR
D. J. Singh,2.0,1.0,0.0,0.1111111111111111,2.0,ECR,ECR
C. J. Umrigar,2.0,1.0,0.0,0.1111111111111111,2.0,ECR,ECR
Dave Clarke,2.0,1.0,0.0,0.09523809523809523,2.0,ECR,ECR
David Costa,2.0,1.0,0.0,0.09523809523809523,2.0,ECR,ECR
Farhad Arbab,2.0,1.0,0.0,0.09523809523809523,2.0,ECR,ECR
V. S. Anitha,1.0,1.0,0.0,0.043478260869565216,0.0,ECR,ECR
M. P. Sebastian,1.0,1.0,0.0,0.043478260869565216,0.0,ECR,ECR
Ching Y. Suen,2.0,1.0,0.0,0.07692307692307693,2.0,ECR,ECR
A. Krzyzak,2.0,1.0,0.0,0.07692307692307693,2.0,ECR,ECR
Jianxiong Dong,2.0,1.0,0.0,0.07692307692307693,2.0,ECR,ECR
Hae-Sung Kim,5.0,1.0,0.0,0.15625,1.0,ECR,ECR
Byeong-Ok Lim,5.0,1.0,0.0,0.15625,1.0,ECR,ECR
Sung-Chan Kim,5.0,1.0,0.0,0.15625,1.0,ECR,ECR
Seong-Dae Lee,5.0,1.0,0.0,0.15625,1.0,ECR,ECR
Dong-Hoon Shin,5.0,1.0,0.0,0.15625,1.0,ECR,ECR
Jin-Koo Rhee,5.0,1.0,0.0,0.15625,1.0,ECR,ECR
Swaminathan Sivasubramanian,2.0,1.0,0.0,0.05714285714285714,2.0,ECR,ECR
Guillaume Pierre,2.0,1.0,0.0,0.05714285714285714,2.0,ECR,ECR
Maarten van Steen,2.0,1.0,0.0,0.05714285714285714,2.0,ECR,ECR
Maria E. Niessen,2.0,1.0,0.0,0.05263157894736842,2.0,ECR,ECR
Leendert van Maanen,2.0,1.0,0.0,0.05263157894736842,2.0,ECR,ECR
Tjeerd C. Andringa,2.0,1.0,0.0,0.05263157894736842,2.0,ECR,ECR
Stergios Papadimitriou,3.0,1.0,0.0,0.07142857142857142,2.0,ECR,ECR
Seferina Mavroudi,3.0,1.0,0.0,0.07142857142857142,2.0,ECR,ECR
Liviu Vladutu,3.0,1.0,0.0,0.07142857142857142,2.0,ECR,ECR
Anastasios Bezerianos,3.0,1.0,0.0,0.07142857142857142,2.0,ECR,ECR
Bernd Mahr,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Divyesh Shah,1.0,1.0,0.0,0.022222222222222223,0.0,ECR,ECR
Sheng Zhong,1.0,1.0,0.0,0.022222222222222223,0.0,ECR,ECR
Li Nawen,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Jiping Lv,2.0,1.0,0.0,0.04081632653061224,2.0,ECR,ECR
Yuanchen Ma,2.0,1.0,0.0,0.04081632653061224,2.0,ECR,ECR
Satoshi Yoshizawa,2.0,1.0,0.0,0.04081632653061224,2.0,ECR,ECR
Wendy E. Mackay,2.0,1.0,0.0,0.038461538461538464,2.0,ECR,ECR
Max G. Van Kleek,2.0,1.0,0.0,0.038461538461538464,2.0,ECR,ECR
Aurélien Tabard,2.0,1.0,0.0,0.038461538461538464,2.0,ECR,ECR
O. P. Sharma,3.0,1.0,0.0,0.05357142857142857,2.0,ECR,ECR
H. C. Upadhyaya,3.0,1.0,0.0,0.05357142857142857,2.0,ECR,ECR
A. Harzallah,3.0,1.0,0.0,0.05357142857142857,2.0,ECR,ECR
R. Sadourny,3.0,1.0,0.0,0.05357142857142857,2.0,ECR,ECR
Farn Wang,0.0,1.0,0.0,0.0,0.0,ECR,ECR
A. Harma,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Boontee Kruatrachue,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Zhen-Chun Huang,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Paulo Shakarian,3.0,1.0,0.0,0.046875,2.0,ECR,ECR
Austin Parker,3.0,1.0,0.0,0.046875,2.0,ECR,ECR
Gerardo Simari,3.0,1.0,0.0,0.046875,2.0,ECR,ECR
Venkatramana V. S. Subrahmanian,3.0,1.0,0.0,0.046875,2.0,ECR,ECR
Stephen J. Fink,2.0,1.0,0.0,0.029850746268656716,2.0,ECR,ECR
Scott B. Baden,2.0,1.0,0.0,0.029850746268656716,2.0,ECR,ECR
Scott R. Kohn,2.0,1.0,0.0,0.029850746268656716,2.0,ECR,ECR
Amit U. Sinha,3.0,1.0,0.0,0.04225352112676056,2.0,ECR,ECR
Mukta Phatak,3.0,1.0,0.0,0.04225352112676056,2.0,ECR,ECR
Raj Bhatnagar,3.0,1.0,1.0,0.04225352112676056,2.0,ECR,ECR
Anil G. Jegga,3.0,1.0,0.0,0.04225352112676056,2.0,ECR,ECR
Robert J. Plemmons,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Xing Zhou,4.0,1.0,0.0,0.05194805194805195,2.0,ECR,ECR
Thomas Dreibholz,4.0,1.0,0.0,0.05194805194805195,2.0,ECR,ECR
Fu Fa,4.0,1.0,0.0,0.05194805194805195,2.0,ECR,ECR
Wencai Du,4.0,1.0,0.0,0.05194805194805195,2.0,ECR,ECR
Erwin Paul Rathgeb,4.0,1.0,0.0,0.05194805194805195,2.0,ECR,ECR
Zhiwen Yu,1.0,1.0,0.0,0.012658227848101266,0.0,ECR,ECR
Hau-San Wong,1.0,1.0,0.0,0.012658227848101266,0.0,ECR,ECR
Frederick Seyler,2.0,1.0,0.0,0.024390243902439025,2.0,ECR,ECR
Chantal Taconet,2.0,1.0,0.0,0.024390243902439025,2.0,ECR,ECR
Guy Bernard,2.0,1.0,0.0,0.024390243902439025,2.0,ECR,ECR
M. N. Abdelghani,2.0,1.0,0.0,0.023529411764705882,2.0,ECR,ECR
T. P. Lillicrap,2.0,1.0,0.0,0.023529411764705882,2.0,ECR,ECR
D. B. Tweed,2.0,1.0,0.0,0.023529411764705882,2.0,ECR,ECR
G. Manis,0.0,1.0,0.0,0.0,0.0,ECR,ECR
P. Tulpule,2.0,1.0,0.0,0.02247191011235955,2.0,ECR,ECR
V. Marano,2.0,1.0,0.0,0.02247191011235955,2.0,ECR,ECR
G. Rizzoni,2.0,1.0,0.0,0.02247191011235955,2.0,ECR,ECR
Gordon Nelson,2.0,1.0,0.0,0.021739130434782608,2.0,ECR,ECR
Beth Moore Milroy,2.0,1.0,0.0,0.021739130434782608,2.0,ECR,ECR
Gregory G. Baeker,2.0,1.0,0.0,0.021739130434782608,2.0,ECR,ECR
M. L. Honig,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Michael Okola,1.0,1.0,0.0,0.010526315789473684,0.0,ECR,ECR
Kamin Whitehouse,1.0,1.0,0.0,0.010526315789473684,0.0,ECR,ECR
Andrew P. Black,1.0,1.0,0.0,0.010309278350515464,2.0,ECR,ECR
Barbara Liskov,1.0,1.0,0.0,0.010309278350515464,2.0,ECR,ECR
Michael Schulze,3.0,1.0,0.0,0.0297029702970297,2.0,ECR,ECR
Sebastian Zug,3.0,1.0,0.0,0.0297029702970297,2.0,ECR,ECR
Francisco Campos,3.0,1.0,0.0,0.0297029702970297,2.0,ECR,ECR
Fernando Carreira,3.0,1.0,0.0,0.0297029702970297,2.0,ECR,ECR
Ofer Shtrichman,1.0,1.0,0.0,0.009708737864077669,0.0,ECR,ECR
Ron Goldring,1.0,1.0,0.0,0.009708737864077669,0.0,ECR,ECR
Maria Arinbjarnar,1.0,1.0,0.0,0.009523809523809525,2.0,ECR,ECR
Daniel Kudenko,1.0,1.0,3.0,0.009523809523809525,2.0,ECR,ECR
Philip Holmes,8.0,1.0,0.0,0.07017543859649122,1.0,ECR,ECR
