Unnamed: 0,index,Paper Title,Authors,Published Year,Publication Venue
1388418,1388419,A preliminary study on multiple documents access via mobile devices,D. L. Chan;E. K. S. Ho;R. W. P. Luk;Q. Lu,2003.0,HSI'03 Proceedings of the 2nd international conference on Human.society@internet
170046,170047,Principles of OLE 2.0 (videotape): an exposition of Microsoft's object-oriented systems architecture,Tony Williams,1994.0,Principles of OLE 2.0 (videotape): an exposition of Microsoft's object-oriented systems architecture
1316423,1316424,Temporal Semantics Extraction for Improving Web Search,María Teresa Vicente-Diez;Paloma Martinez,2009.0,DEXA '09 Proceedings of the 2009 20th International Workshop on Database and Expert Systems Application
1667646,1667647,Shape analysis and fuzzy control for 3d competitive segmentation of brain structures with level sets,Cybèle Ciofolo;Christian Barillot,2006.0,ECCV'06 Proceedings of the 9th European conference on Computer Vision - Volume Part I
4105,4106,The possible effect of abstracting guidelines on retrieval performance of free-text searching,Raya Fidel,1986.0,Information Processing and Management: an International Journal
1621901,1621902,Interactive conditional proxy re-encryption with fine grain policy,Liming Fang;Willy Susilo;Chunpeng Ge;Jiandong Wang,2011.0,Journal of Systems and Software
336027,336028,Regular graphs with no homomorphisms onto cycles,I. M. Wanless;N. C. Wormald,2001.0,Journal of Combinatorial Theory Series B
648840,648841,All-Electron Study of Gradient Corrections to the Local Density Functional in Metallic Systems,Alexander Khein;D. J. Singh;C. J. Umrigar,1994.0,All-Electron Study of Gradient Corrections to the Local Density Functional in Metallic Systems
1655725,1655726,Modelling coordination in biological systems,Dave Clarke;David Costa;Farhad Arbab,2004.0,ISoLA'04 Proceedings of the First international conference on Leveraging Applications of Formal Methods
1341091,1341092,SCAM: scenario-based clustering algorithm for mobile ad hoc networks,V. S. Anitha;M. P. Sebastian,2009.0,COMSNETS'09 Proceedings of the First international conference on COMmunication Systems And NETworks
761679,761680,Speed and accuracy: large-scale machine learning algorithms and their applications,Ching Y. Suen;A. Krzyzak;Jianxiong Dong,2003.0,Speed and accuracy: large-scale machine learning algorithms and their applications
450200,450201,"Study of the fabrication of PHEMTs for a 0.1 µm scale Γ-gate using electron beam lithography: structure, fabrication, and characteristics",Hae-Sung Kim;Byeong-Ok Lim;Sung-Chan Kim;Seong-Dae Lee;Dong-Hoon Shin;Jin-Koo Rhee,2002.0,Microelectronic Engineering
779705,779706,Replicating Web Applications On-Demand,Swaminathan Sivasubramanian;Guillaume Pierre;Maarten van Steen,2004.0,SCC '04 Proceedings of the 2004 IEEE International Conference on Services Computing
1120975,1120976,Disambiguating Sounds through Context,Maria E. Niessen;Leendert van Maanen;Tjeerd C. Andringa,2008.0,ICSC '08 Proceedings of the 2008 IEEE International Conference on Semantic Computing
418198,418199,Generalized Radial Basis Function Networks Trained with Instance Based Learning for Data Mining of Symbolic Data,Stergios Papadimitriou;Seferina Mavroudi;Liviu Vladutu;Anastasios Bezerianos,2002.0,Applied Intelligence
